Metodo,Tolleranza,Iterazioni,Errore Relativo,Tempo di Calcolo (s),Convergenza
Jacobi,1e-04,36,1.77e-03,0.1061,True
Jacobi,1e-06,57,1.67e-05,0.1826,True
Jacobi,1e-08,78,1.57e-07,0.2055,True
Jacobi,1e-10,99,1.48e-09,0.3092,True
Gauss-Seidel,1e-04,5,2.60e-03,2.0391,True
Gauss-Seidel,1e-06,8,5.14e-05,3.2024,True
Gauss-Seidel,1e-08,12,2.79e-07,5.6155,True
Gauss-Seidel,1e-10,15,5.57e-09,6.3975,True
Gradiente,1e-04,161,1.81e-02,0.3781,True
Gradiente,1e-06,1949,6.69e-04,4.7772,True
Gradiente,1e-08,5087,6.87e-06,12.4772,True
Gradiente,1e-10,8285,6.94e-08,22.0696,True
Gradiente coniugato,1e-04,42,9.82e-03,0.1381,True
Gradiente coniugato,1e-06,122,1.20e-04,0.3530,True
Gradiente coniugato,1e-08,196,5.59e-07,0.6756,True
Gradiente coniugato,1e-10,240,5.32e-09,0.7916,True
