Metodo,Tolleranza,Iterazioni,Errore Relativo,Tempo di Calcolo (s),Convergenza
Jacobi,1e-04,1927,4.97e-03,0.0718,True
Jacobi,1e-06,3676,4.97e-05,0.1353,True
Jacobi,1e-08,5425,4.97e-07,0.1944,True
Jacobi,1e-10,7174,4.96e-09,0.2728,True
Gauss-Seidel,1e-04,965,4.95e-03,8.5992,True
Gauss-Seidel,1e-06,1840,4.94e-05,35.9781,True
Gauss-Seidel,1e-08,2714,4.96e-07,43.0832,True
Gauss-Seidel,1e-10,3589,4.95e-09,43.9140,True
Gradiente,1e-04,1308,3.81e-03,0.0583,True
Gradiente,1e-06,2438,3.79e-05,0.1068,True
Gradiente,1e-08,3566,3.81e-07,0.1470,True
Gradiente,1e-10,4696,3.80e-09,0.1910,True
Gradiente coniugato,1e-04,47,5.73e-05,0.0023,True
Gradiente coniugato,1e-06,56,4.74e-07,0.0020,True
Gradiente coniugato,1e-08,66,4.30e-09,0.0020,True
Gradiente coniugato,1e-10,74,2.25e-11,0.0030,True
